,id,continent,location,date,total_cases_per_million,total_deaths_per_million,population,latitude,longitude
75,GUM,Oceania,Guam,2023-10-12,302893.767,2427.481,171774.0,13.444304,144.793731
76,GTM,North America,Guatemala,2023-10-12,71232.69,1134.0,17843908.0,15.783471,-90.230759
77,GGY,Europe,Guernsey,2023-10-12,557817.114,1057.967,63301.0,49.465691,-2.585278
78,GIN,Africa,Guinea,2023-10-12,2782.454,33.768,13859341.0,9.945587,-9.696645
79,GNB,Africa,Guinea-Bissau,2023-10-12,4565.963,84.062,2105566.0,11.803749,-15.180413
80,GUY,South America,Guyana,2023-10-12,90745.085,1606.228,808726.0,4.860416,-58.93018
81,HTI,North America,Haiti,2023-10-12,2964.522,74.234,11584996.0,18.971187,-72.285215
82,HND,North America,Honduras,2023-10-12,45489.644,1066.534,10432860.0,15.199999,-86.241905
83,HUN,Europe,Hungary,2023-10-12,221354.842,4896.71,9967308.0,47.162494,19.503304
84,ISL,Europe,Iceland,2023-10-12,560848.263,498.789,372899.0,64.963051,-19.020835
85,IND,Asia,India,2023-10-12,31752.88,375.419,1417173173.0,20.593684,78.96288
86,IDN,Asia,Indonesia,2023-10-12,24731.019,587.721,275501339.0,-0.789275,113.921327
87,IRN,Asia,Iran,2023-10-12,86038.149,1653.699,88550570.0,32.427908,53.688046
88,IRQ,Asia,Iraq,2023-10-12,55410.332,570.274,44496122.0,33.223191,43.679291
89,IRL,Europe,Ireland,2023-10-12,342646.823,1841.29,5023109.0,53.41291,-8.24389
90,IMN,Europe,Isle of Man,2023-10-12,449617.905,1372.229,84519.0,54.236107,-4.548056
91,ISR,Asia,Israel,2023-10-12,512211.768,1343.105,9038309.0,31.046051,34.851612
92,ITA,Europe,Italy,2023-10-12,441798.135,3247.344,59037474.0,41.87194,12.56738
93,JAM,North America,Jamaica,2023-10-12,55311.238,1275.738,2827377.0,18.109581,-77.297508
94,JPN,Asia,Japan,2023-10-12,272715.688,602.606,123951692.0,36.204824,138.252924
95,JEY,Europe,Jersey,2023-10-12,599218.383,1453.121,110778.0,49.214439,-2.13125
96,JOR,Asia,Jordan,2023-10-12,154794.998,1251.299,11285869.0,30.585164,36.238414
97,KAZ,Asia,Kazakhstan,2023-10-12,77474.851,983.194,19397998.0,48.019573,66.923684
98,KEN,Africa,Kenya,2023-10-12,6366.297,105.298,54027487.0,-0.023559,37.906193
99,KIR,Oceania,Kiribati,2023-10-12,38746.695,182.875,131232.0,-3.370417,-168.734039
100,KWT,Asia,Kuwait,2023-10-12,156104.192,602.031,4268873.0,29.31166,47.481766
101,KGZ,Asia,Kyrgyzstan,2023-10-12,13405.833,154.435,6630623.0,41.20438,74.766098
102,LAO,Asia,Laos,2023-10-12,29069.217,89.116,7529475.0,19.85627,102.495496
103,LVA,Europe,Latvia,2023-10-12,527551.882,3989.941,1850651.0,56.879635,24.603189
104,LBN,Asia,Lebanon,2023-10-12,225858.255,1994.082,5489739.0,33.854721,35.862285
105,LSO,Africa,Lesotho,2023-10-12,15541.502,307.482,2305825.0,-29.609988,28.233608
106,LBR,Africa,Liberia,2023-10-12,1495.467,55.444,5302681.0,6.428055,-9.429499
107,LBY,Africa,Libya,2023-10-12,74463.21,944.902,6812341.0,26.3351,17.228331
108,LIE,Europe,Liechtenstein,2023-10-12,546080.549,2210.647,39327.0,47.166,9.555373
109,LTU,Europe,Lithuania,2023-10-12,483766.524,3530.835,2750055.0,55.169438,23.881275
110,LUX,Europe,Luxembourg,2023-10-12,593541.394,1544.161,647599.0,49.815273,6.129583
111,MDG,Africa,Madagascar,2023-10-12,2308.107,48.123,29611714.0,-18.766947,46.869107
112,MWI,Africa,Malawi,2023-10-12,4360.922,131.632,20405317.0,-13.254308,34.301525
113,MYS,Asia,Malaysia,2023-10-12,151131.427,1095.962,33938221.0,4.210484,101.975766
114,MDV,Asia,Maldives,2023-10-12,356423.66,603.286,523787.00000000006,3.202778,73.22068
115,MLI,Africa,Mali,2023-10-12,1467.54,32.885,22593590.0,17.570692,-3.996166
116,MLT,Europe,Malta,2023-10-12,225808.327,1653.875,533286.0,35.937496,14.375416
117,MHL,Oceania,Marshall Islands,2023-10-12,387997.98,408.723,41569.0,7.131474,171.184478
118,MTQ,North America,Martinique,2023-10-12,626793.139,3003.984,367507.0,14.641528,-61.024174
119,MRT,Africa,Mauritania,2023-10-12,13464.957,210.509,4736139.0,21.00789,-10.940835
120,MUS,Africa,Mauritius,2023-10-12,238456.519,811.095,1299469.0,-20.348404,57.552152
121,MYT,Africa,Mayotte,2023-10-12,128872.507,573.421,326101.0,-12.8275,45.166244
122,MEX,North America,Mexico,2023-10-12,60330.356,2624.77,127504125.0,23.634501,-102.552784
123,MDA,Europe,Moldova,2023-10-12,190554.639,3704.866,3272996.0,47.411631,28.369885
124,MCO,Europe,Monaco,2023-10-12,466608.205,1836.069,36469.0,43.750298,7.412841
125,MNG,Asia,Mongolia,2023-10-12,297545.325,672.086,3398366.0,46.862496,103.846656
126,MNE,Europe,Montenegro,2023-10-12,400713.144,4232.301,627082.0,42.708678,19.37439
127,MSR,North America,Montserrat,2023-10-12,317924.315,1812.826,4390.0,16.742498,-62.187366
128,MAR,Africa,Morocco,2023-10-12,34090.203,435.074,37457971.0,31.791702,-7.09262
129,MOZ,Africa,Mozambique,2023-10-12,7086.97,68.215,32969518.0,-18.665695,35.529562
130,NAM,Africa,Namibia,2023-10-12,67002.88,1596.401,2567012.0,-22.95764,18.49041
131,NRU,Oceania,Nauru,2023-10-12,424946.813,78.796,12668.0,-0.522778,166.931503
132,NPL,Asia,Nepal,2023-10-12,32848.553,393.845,30547580.0,28.394857,84.124008
133,NLD,Europe,Netherlands,2023-10-12,490708.562,1308.698,17564014.0,52.132633,5.291266
134,NCL,Oceania,New Caledonia,2023-10-12,276121.797,1082.912,289950.0,-20.904305,165.618042
135,NZL,Oceania,New Zealand,2023-10-12,460506.251,648.18,5185288.0,-40.900557,174.885971
136,NIC,North America,Nicaragua,2023-10-12,2309.454,35.26,6948392.0,12.865416,-85.207229
137,NER,Africa,Niger,2023-10-12,363.057,12.019,26207977.0,17.607789,8.081666
138,NGA,Africa,Nigeria,2023-10-12,1222.406,14.437,218541212.0,9.081999,8.675277
139,MNP,Oceania,Northern Mariana Islands,2023-10-12,288437.487,827.046,49551.0,17.33083,145.38469
140,NOR,Europe,Norway,2023-10-12,274083.584,1054.777,5434319.0,60.472024,8.468946
141,OMN,Asia,Oman,2023-10-12,87286.454,1011.297,4576298.0,21.512583,55.923255
142,PAK,Asia,Pakistan,2023-10-12,6702.563,129.995,235824862.0,30.375321,69.345116
143,PLW,Oceania,Palau,2023-10-12,345111.701,497.678,18055.0,7.51498,134.58252
144,PAN,North America,Panama,2023-10-12,237617.22,1962.989,4408581.0,8.537981,-80.782127
145,PNG,Oceania,Papua New Guinea,2023-10-12,4620.5,66.058,10142619.0,-6.314993,143.95555
146,PRY,South America,Paraguay,2023-10-12,108524.063,2945.694,6780744.0,-23.442503,-58.443832
147,PER,South America,Peru,2023-10-12,132768.919,6511.209,34049588.0,-9.189967,-75.015152
148,PHL,Asia,Philippines,2023-10-12,35606.744,577.16,115559009.0,12.879721,121.774017
149,POL,Europe,Poland,2023-10-12,163676.856,3002.072,39857145.0,51.919438,19.145136
150,PRT,Europe,Portugal,2023-10-12,547278.09,2670.079,10270865.0,39.399872,-8.224454
151,PRI,North America,Puerto Rico,2023-10-12,385164.303,1825.722,3252407.0,18.220833,-66.590149
152,QAT,Asia,Qatar,2023-10-12,190908.716,256.017,2695122.0,25.354826,51.183884
153,ROU,Europe,Romania,2023-10-12,175754.593,3476.274,19659267.0,45.943161,24.96676
154,RUS,Europe,Russia,2023-10-12,159251.645,2764.618,144713314.0,61.52401,105.318756
155,RWA,Africa,Rwanda,2023-10-12,9668.061,106.557,13776698.0,-1.940278,29.873888
156,KNA,North America,Saint Kitts and Nevis,2023-10-12,138566.725,964.745,47657.0,17.357822,-62.782998
157,LCA,North America,Saint Lucia,2023-10-12,167591.398,2279.399,179857.0,13.909444,-60.978893
158,SPM,North America,Saint Pierre and Miquelon,2023-10-12,582158.029,339.847,5862.0,46.941936,-56.27111
159,VCT,North America,Saint Vincent and the Grenadines,2023-10-12,92767.341,1192.778,103948.0,12.984305,-61.287228
160,WSM,Oceania,Samoa,2023-10-12,75444.04,139.395,222382.0,-13.759029,-172.104629
161,SMR,Europe,San Marino,2023-10-12,733006.827,3739.982,33660.0,43.94236,12.457777
162,SAU,Asia,Saudi Arabia,2023-10-12,23111.678,264.936,36408820.0,23.885942,45.079162
163,SEN,Africa,Senegal,2023-10-12,5140.891,113.822,17316449.0,14.497401,-14.452362
164,SRB,Europe,Serbia,2023-10-12,371972.425,2627.793,7221365.0,44.016521,21.005859
165,SYC,Africa,Seychelles,2023-10-12,475446.866,1605.451,107118.0,-4.679574,55.491977
166,SLE,Africa,Sierra Leone,2023-10-12,902.423,14.525,8605718.0,8.460555,-11.779889
167,SGP,Asia,Singapore,2023-10-12,463029.593,332.09,5975689.0,1.352083,103.819836
168,SVK,Europe,Slovakia,2023-10-12,330940.355,3750.717,5643453.0,48.669026,19.699024
169,SVN,Europe,Slovenia,2023-10-12,634662.095,4456.934,2119844.0,46.151241,14.995463
170,SLB,Oceania,Solomon Islands,2023-10-12,29838.238,211.247,724273.0,-9.64571,160.156194
171,SOM,Africa,Somalia,2023-10-12,1553.288,77.34,17597511.0,5.152149,46.199616
172,ZAF,Africa,South Africa,2023-10-12,67995.807,1712.946,59893885.0,-30.559482,22.937506
173,KOR,Asia,South Korea,2023-10-12,667207.062,693.495,51815810.0,35.907757,127.766922
174,ESP,Europe,Spain,2023-10-12,293960.095,2562.143,47558630.0,40.463667,-3.74922
175,LKA,Asia,Sri Lanka,2023-10-12,30807.319,773.263,21832143.0,7.873054,80.771797
176,SDN,Africa,Sudan,2023-10-12,1365.207,107.65,46874204.0,12.862807,30.217636
177,SUR,South America,Suriname,2023-10-12,133627.594,2278.148,618040.0,3.919305,-56.027783
178,SWE,Europe,Sweden,2023-10-12,257564.803,2354.079,10549347.0,60.128161,18.643501
179,CHE,Europe,Switzerland,2023-10-12,504944.413,1608.037,8740472.0,46.818188,8.227512
180,SYR,Asia,Syria,2023-10-12,2595.361,142.959,22125249.0,34.802075,38.996815
181,TJK,Asia,Tajikistan,2023-10-12,1787.037,12.559,9952787.0,38.861034,71.276093
182,TZA,Africa,Tanzania,2023-10-12,657.702,12.916,65497748.0,-6.369028,34.888822
183,THA,Asia,Thailand,2023-10-12,66357.064,480.899,71697030.0,15.870032,100.992541
184,TGO,Africa,Togo,2023-10-12,4466.419,32.773,8848699.0,8.619543,0.824782
185,TON,Oceania,Tonga,2023-10-12,157457.4,112.289,106858.0,-21.178986,-175.198242
186,TTO,North America,Trinidad and Tobago,2023-10-12,125075.52,2867.326,1531044.0,10.691803,-61.222503
187,TUN,Africa,Tunisia,2023-10-12,93343.329,2381.25,12356117.0,33.886917,9.537499
188,TUR,Asia,Turkey,2023-10-12,199255.078,1188.394,85341241.0,38.963745,35.243322
189,TCA,North America,Turks and Caicos Islands,2023-10-12,144994.095,852.906,45703.0,21.694025,-71.797928
190,TUV,Oceania,Tuvalu,2023-10-12,259638.288,88.222,11312.0,-7.109535,177.64933
191,UGA,Africa,Uganda,2023-10-12,3637.513,76.868,47249585.0,1.373333,32.290275
192,UKR,Europe,Ukraine,2023-10-12,139048.879,2768.594,39701739.0,48.379433,31.16558
193,ARE,Asia,United Arab Emirates,2023-10-12,113019.214,248.805,9441129.0,23.424076,53.847818
194,GBR,Europe,United Kingdom,2023-10-12,366526.1,3403.475,67508936.0,55.378051,-3.435973
195,USA,North America,United States,2023-10-12,305763.91,3331.912,338289857.0,37.09024,-95.712891
196,URY,South America,Uruguay,2023-10-12,303622.535,2230.34,3422794.0,-32.522779,-55.765835
197,UZB,Asia,Uzbekistan,2023-10-12,5028.439,29.341,34627652.0,41.377491,64.585262
198,VUT,Oceania,Vanuatu,2023-10-12,36784.149,42.847,326740.0,-15.376706,166.959158
199,VEN,South America,Venezuela,2023-10-12,19528.686,206.913,28301696.0,6.42375,-66.58973
200,VNM,Asia,Vietnam,2023-10-12,118384.939,440.039,98186856.0,14.058324,108.277199
201,WLF,Oceania,Wallis and Futuna,2023-10-12,306140.048,689.893,11572.0,-13.768752,-177.156097
202,YEM,Asia,Yemen,2023-10-12,354.487,64.072,33696614.0,15.552727,48.516388
203,ZMB,Africa,Zambia,2023-10-12,17448.934,203.27,20017675.0,-13.133897,27.849332
204,ZWE,Africa,Zimbabwe,2023-10-12,16284.45,350.356,16320537.0,-19.015438,29.154857
